agent_label,system_id,scenario_id,total_turns,elapsed_seconds,stop_reason,stop_reason_class,stopped_by_student,overall_helpfulness,student_progress,mentor_effectiveness,conversation_efficiency,holistic_score,is_success,success_type
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,arxiv_preprint_strategy,34,351.22,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,biosignal_undergrad,19,182.86,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,causal_ablation_help,28,252.38,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,clinical_trial_ehr,11,111.57,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,data_center_optimization,22,253.39,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,dissertation_chapter_polish,9,93.77,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,drug_discovery_plan,80,909.78,max_turns_reached,ambiguous,False,1.967,1.967,2.000,1.933,1.968,True,score_only
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,fairness_phd_idea,80,949.57,max_turns_reached,ambiguous,False,1.967,1.967,2.000,1.967,1.973,True,score_only
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,federated_learning_design,31,360.88,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,icml_revision_feedback,80,817.96,max_turns_reached,ambiguous,False,1.967,1.967,2.000,1.933,1.968,True,score_only
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,llm_eval_planning,80,1047.22,max_turns_reached,ambiguous,False,2.000,2.000,2.000,2.000,2.000,True,score_only
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,multimodal_masters_scope,72,683.77,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,neurips_camera_ready,14,149.56,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,nlp_negative_results,6,57.83,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,quantum_curious,46,481.06,goal_reached,positive,True,2.000,2.000,2.000,1.933,1.990,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,rebuttal_strategy,14,152.35,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,rl_robotics_direction,61,761.92,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,sustainability_mba,24,288.71,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,venue_selection_dilemma,39,734.06,goal_reached,positive,True,2.000,2.000,2.000,1.933,1.990,True,score_and_positive_stop
icml-evaluation-results,openrouter:moonshotai/kimi-k2-thinking,vision_baseline_analysis,30,297.98,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,arxiv_preprint_strategy,50,4364.50,student_terminated,ambiguous,True,1.733,1.767,1.700,1.500,1.702,True,score_only
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,biosignal_undergrad,13,227.49,goal_reached,positive,True,2.000,2.000,2.000,1.933,1.990,True,score_and_positive_stop
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,causal_ablation_help,80,5416.70,max_turns_reached,ambiguous,False,1.933,1.933,1.967,1.833,1.925,True,score_only
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,clinical_trial_ehr,60,4029.77,student_terminated,ambiguous,True,1.967,1.933,1.967,1.867,1.942,True,score_only
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,data_center_optimization,57,4076.88,student_terminated,ambiguous,True,1.933,1.900,1.967,1.867,1.920,True,score_only
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,dissertation_chapter_polish,11,833.55,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,drug_discovery_plan,40,2845.63,student_terminated,ambiguous,True,2.000,2.000,2.000,1.833,1.975,True,score_only
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,fairness_phd_idea,80,4702.78,max_turns_reached,ambiguous,False,1.900,1.933,1.933,1.800,1.902,True,score_only
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,federated_learning_design,42,2843.14,student_terminated,ambiguous,True,2.000,2.000,2.000,2.000,2.000,True,score_only
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,icml_revision_feedback,3,142.78,blocked,negative,True,1.433,1.467,1.300,0.933,1.342,False,failed_negative_stop
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,llm_eval_planning,14,988.17,student_terminated,ambiguous,True,2.000,2.000,2.000,2.000,2.000,True,score_only
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,multimodal_masters_scope,70,5367.14,student_terminated,ambiguous,True,1.900,1.867,1.833,1.600,1.832,True,score_only
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,neurips_camera_ready,4,246.35,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,nlp_negative_results,57,3901.54,goal_reached,positive,True,2.000,2.000,2.000,2.000,2.000,True,score_and_positive_stop
icml-evaluation-results,openrouter:anthropic/claude-sonnet-4.5,quantum_curious,13,403.60,mentored_enough,positive,True,1.933,1.967,1.967,1.833,1.935,True,score_and_positive_stop
